fecha,valor_predicho,clasificacion
2025-01-01,1.883,Caudal Bajo
2025-01-02,1.890,Caudal Bajo
2025-01-03,1.872,Caudal Bajo
2025-01-04,1.868,Caudal Bajo
2025-01-05,1.861,Caudal Bajo
2025-01-06,1.867,Caudal Bajo
2025-01-07,1.885,Caudal Bajo
2025-01-08,1.876,Caudal Bajo
2025-01-09,1.868,Caudal Bajo
2025-01-10,1.841,Caudal Bajo
2025-01-11,1.834,Caudal Bajo
2025-01-12,1.832,Caudal Bajo
2025-01-13,1.850,Caudal Bajo
2025-01-14,1.884,Caudal Bajo
2025-01-15,1.895,Normal
2025-01-16,1.909,Normal
2025-01-17,1.901,Normal
2025-01-18,1.909,Normal
2025-01-19,1.915,Normal
2025-01-20,1.931,Normal
2025-01-21,1.956,Normal
2025-01-22,1.947,Normal
2025-01-23,1.933,Normal
2025-01-24,1.892,Normal
2025-01-25,1.863,Caudal Bajo
2025-01-26,1.833,Caudal Bajo
2025-01-27,1.817,Caudal Bajo
2025-01-28,1.816,Caudal Bajo
2025-01-29,1.791,Caudal Bajo
2025-01-30,1.771,Caudal Bajo
2025-01-31,1.735,Caudal Bajo
2025-02-01,1.723,Caudal Bajo
2025-02-02,1.718,Caudal Bajo
2025-02-03,1.733,Caudal Bajo
2025-02-04,1.767,Caudal Bajo
2025-02-05,1.778,Caudal Bajo
2025-02-06,1.790,Caudal Bajo
2025-02-07,1.780,Caudal Bajo
2025-02-08,1.787,Caudal Bajo
2025-02-09,1.792,Caudal Bajo
2025-02-10,1.809,Caudal Bajo
2025-02-11,1.837,Caudal Bajo
2025-02-12,1.836,Caudal Bajo
2025-02-13,1.833,Caudal Bajo
2025-02-14,1.808,Caudal Bajo
2025-02-15,1.801,Caudal Bajo
2025-02-16,1.797,Caudal Bajo
2025-02-17,1.810,Caudal Bajo
2025-02-18,1.839,Caudal Bajo
2025-02-19,1.845,Caudal Bajo
2025-02-20,1.853,Caudal Bajo
2025-02-21,1.842,Caudal Bajo
2025-02-22,1.847,Caudal Bajo
2025-02-23,1.852,Caudal Bajo
2025-02-24,1.868,Caudal Bajo
2025-02-25,1.893,Normal
2025-02-26,1.886,Caudal Bajo
2025-02-27,1.872,Caudal Bajo
2025-02-28,1.832,Caudal Bajo
2025-03-01,1.803,Caudal Bajo
2025-03-02,1.772,Caudal Bajo
2025-03-03,1.755,Caudal Bajo
