fecha,valor_predicho
2025-01-01,5.306
2025-01-02,5.287
2025-01-03,5.258
2025-01-04,5.261
2025-01-05,5.266
2025-01-06,5.266
2025-01-07,5.273
2025-01-08,5.291
2025-01-09,5.298
2025-01-10,5.294
2025-01-11,5.319
2025-01-12,5.343
2025-01-13,5.355
2025-01-14,5.368
2025-01-15,5.387
2025-01-16,5.388
2025-01-17,5.372
2025-01-18,5.383
2025-01-19,5.388
2025-01-20,5.383
2025-01-21,5.379
2025-01-22,5.382
2025-01-23,5.371
2025-01-24,5.348
2025-01-25,5.354
2025-01-26,5.360
2025-01-27,5.358
2025-01-28,5.360
2025-01-29,5.371
2025-01-30,5.368
2025-01-31,5.351
2025-02-01,5.363
2025-02-02,5.372
2025-02-03,5.371
2025-02-04,5.371
2025-02-05,5.377
2025-02-06,5.369
2025-02-07,5.346
2025-02-08,5.352
2025-02-09,5.355
2025-02-10,5.349
2025-02-11,5.347
2025-02-12,5.353
2025-02-13,5.346
2025-02-14,5.326
2025-02-15,5.336
2025-02-16,5.343
2025-02-17,5.342
2025-02-18,5.343
2025-02-19,5.351
2025-02-20,5.344
2025-02-21,5.322
2025-02-22,5.328
2025-02-23,5.331
2025-02-24,5.323
2025-02-25,5.317
2025-02-26,5.318
2025-02-27,5.305
2025-02-28,5.278
2025-03-01,5.281
2025-03-02,5.283
2025-03-03,5.277
2025-03-04,5.274
2025-03-05,5.280
2025-03-06,5.274
2025-03-07,5.255
2025-03-08,5.266
2025-03-09,5.275
2025-03-10,5.275
2025-03-11,5.279
2025-03-12,5.290
2025-03-13,5.288
2025-03-14,5.272
2025-03-15,5.285
2025-03-16,5.296
2025-03-17,5.297
2025-03-18,5.302
2025-03-19,5.314
2025-03-20,5.313
2025-03-21,5.298
2025-03-22,5.311
2025-03-23,5.322
2025-03-24,5.322
2025-03-25,5.324
2025-03-26,5.333
2025-03-27,5.326
2025-03-28,5.305
2025-03-29,5.311
2025-03-30,5.313
2025-03-31,5.306
2025-04-01,5.301
2025-04-02,5.303
2025-04-03,5.293
2025-04-04,5.269
2025-04-05,5.276
2025-04-06,5.282
2025-04-07,5.281
2025-04-08,5.284
2025-04-09,5.297
2025-04-10,5.297
2025-04-11,5.284
2025-04-12,5.301
2025-04-13,5.316
2025-04-14,5.321
2025-04-15,5.328
2025-04-16,5.341
2025-04-17,5.339
2025-04-18,5.323
2025-04-19,5.334
