ds,yhat,Etiqueta
2025-01-01,2.93,Normal
2025-01-02,2.67,Normal
2025-01-03,2.79,Normal
2025-01-04,3.15,Normal
2025-01-05,3.23,Normal
2025-01-06,3.62,Normal
2025-01-07,3.14,Normal
2025-01-08,3.01,Normal
2025-01-09,2.44,Sequía
2025-01-10,2.41,Sequía
2025-01-11,2.79,Normal
2025-01-12,2.98,Normal
2025-01-13,3.42,Normal
2025-01-14,2.94,Normal
2025-01-15,2.81,Normal
2025-01-16,2.29,Sequía
2025-01-17,2.36,Sequía
2025-01-18,2.80,Normal
2025-01-19,2.92,Normal
2025-01-20,3.24,Normal
2025-01-21,2.68,Normal
2025-01-22,2.60,Normal
2025-01-23,2.23,Sequía
2025-01-24,2.38,Sequía
2025-01-25,2.68,Normal
2025-01-26,2.50,Sequía
2025-01-27,2.49,Sequía
2025-01-28,1.79,Sequía
2025-01-29,1.81,Sequía
2025-01-30,1.67,Sequía
2025-01-31,2.03,Sequía
2025-02-01,2.47,Sequía
2025-02-02,2.38,Sequía
2025-02-03,2.54,Sequía
2025-02-04,2.06,Sequía
2025-02-05,2.25,Sequía
2025-02-06,2.12,Sequía
2025-02-07,2.29,Sequía
2025-02-08,2.47,Sequía
2025-02-09,2.21,Sequía
2025-02-10,2.38,Sequía
2025-02-11,2.05,Sequía
2025-02-12,2.40,Sequía
2025-02-13,2.35,Sequía
2025-02-14,2.54,Sequía
2025-02-15,2.77,Normal
2025-02-16,2.64,Normal
2025-02-17,2.92,Normal
2025-02-18,2.59,Sequía
2025-02-19,2.84,Normal
2025-02-20,2.66,Normal
2025-02-21,2.84,Normal
2025-02-22,3.18,Normal
2025-02-23,3.15,Normal
2025-02-24,3.40,Normal
2025-02-25,2.82,Normal
2025-02-26,2.70,Normal
2025-02-27,2.25,Sequía
2025-02-28,2.38,Sequía
2025-03-01,2.87,Normal
2025-03-02,3.06,Normal
2025-03-03,3.45,Normal
2025-03-04,2.95,Normal
2025-03-05,2.92,Normal
2025-03-06,2.64,Normal
2025-03-07,2.96,Normal
2025-03-08,3.53,Normal
2025-03-09,3.60,Normal
2025-03-10,3.72,Normal
2025-03-11,2.96,Normal
2025-03-12,2.84,Normal
2025-03-13,2.63,Normal
2025-03-14,3.10,Normal
2025-03-15,3.76,Normal
2025-03-16,3.85,Normal
2025-03-17,3.98,Normal
2025-03-18,3.30,Normal
2025-03-19,3.27,Normal
2025-03-20,3.11,Normal
2025-03-21,3.51,Normal
2025-03-22,4.02,Normal
2025-03-23,4.00,Normal
2025-03-24,4.16,Normal
2025-03-25,3.58,Normal
2025-03-26,3.60,Normal
2025-03-27,3.28,Normal
2025-03-28,3.32,Normal
2025-03-29,3.48,Normal
2025-03-30,3.29,Normal
2025-03-31,3.51,Normal
2025-04-01,3.14,Normal
2025-04-02,3.35,Normal
2025-04-03,3.14,Normal
2025-04-04,3.28,Normal
2025-04-05,3.59,Normal
2025-04-06,3.63,Normal
2025-04-07,4.04,Normal
2025-04-08,3.69,Normal
2025-04-09,3.73,Normal
2025-04-10,3.29,Normal
2025-04-11,3.29,Normal
2025-04-12,3.65,Normal
2025-04-13,3.87,Normal
2025-04-14,4.46,Lluvia Intensa
2025-04-15,4.22,Normal
2025-04-16,4.32,Normal
2025-04-17,3.96,Normal
2025-04-18,4.09,Normal
2025-04-19,4.57,Lluvia Intensa
2025-04-20,4.81,Lluvia Intensa
2025-04-21,5.29,Lluvia Intensa
2025-04-22,4.92,Lluvia Intensa
2025-04-23,4.98,Lluvia Intensa
2025-04-24,4.70,Lluvia Intensa
2025-04-25,4.91,Lluvia Intensa
2025-04-26,5.31,Lluvia Intensa
